sentence	label
boy hurt in california quake i should bedead httpAddress	0
rt usrId bird s eye view #napaquake damage as seen from drone above httpAddress httpAddress	0
napa #earthquake damage and insurance losses could cost billions httpAddress #napaquake	0
update hospital officials say a 13 year old boy was critically injured by a falling chimney in the #napaquake	0
rt usrId washington usa tacoma httpAddress breaking news DD earthquake bay area earthquake damages napa county airport he	0
rt usrId our httpAddress for #avtweeps usrId usrId in recovery from httpAddress pls support them and usrId in t	1
rt usrId #djkingassassin 6.0 earthquake shakes northern california cop who killed michael brown httpAddress httpAddress	0
#3tking napa earthquake hastens calls for warning system httpAddress	1
we are grateful to report we suffered no damage to our winery or offices and aside from reorganized homes everyone is httpAddress #napaquake	1
seems as though most napa wineries were not insured for quake httpAddress while harvest was least affected many suffered damage to httpAddress	0
httpAddress california quake damages historic buildings the strongest quake to hit the bay area in .. httpAddress	0
rt usrId the kids tell me they will donate to the napa landmarks to help rebuild the downtown httpAddress #napaquake httpAddress	1
i hope the people of california are good amp ; no one got hurt or dead from the big httpAddress	1
httpAddress california earthquake wine country clears up damage around napa authorities in california s wine country nort	0
rt usrId D shelters open for #napaquake crosswalk cmnty church D590 1st st #napa amp ; florence douglas cntr DD amador st #vallejo	1
usgs reports a httpAddress #earthquake 10km wnw of big bear lake california on httpAddress 6 12 20 utc httpAddress #quake	1
prayers for the people of napa california ! #earthquake	1
#napaquake damage figure for homes businesses 300 million per usrId httpAddress via usrId	0
rt usrId napa boy crushed by brick chimney in 6.0 quake i should be dead httpAddress	0
expert urges california nuclear plant closure over earthquake threat former lead inspector for diablo canyon .. httpAddress	1
rt usrId average #earthquake insurance cost california 860 a month via usrId httpAddress usrId usrId	0
rt usrId infodude amazing use of #bigdata from usrId how the napa earthquake affected bay area sleepers httpAddress	0
my heart goes out to all of those affected by the napa quake this httpAddress as a native southern californian httpAddress httpAddress	1
rt usrId usa httpAddress DD earthquake three critically injured almost DD treated at napa hospital following 6.0 .. gi	0
# napa earthquake hastens calls for warning system the earthquake that jolted cali httpAddress	1
#house candidate #jameshinton #federalreserve must help rebuild #napa #sonoma #northbay c 0 30 year loans today httpAddress	1
willie brown will present 50 00 check weds from raiders to napa valley schools to assist in efforts to recover from sunday s httpAddress	1
#quake rocks #california wine country dozens injured httpAddress	0
california begins quake clear up workers assess damage and begin to clear up after a 6.0 magnitude quake httpAddress httpAddress	0
#drinknapa and help our neighbors who lost so much ! httpAddress	1
rt usrId the usrId shelters in napa and vallejo remain open to assist those affected by the httpAddress #napaquake	1
can t reach my friends in sf . hope they r httpAddress rt usrId the earthquake in northern california .. httpAddress	0
not the wine ! curse you seismic activity ! via usrId california quake means big damage for napa valley wineries httpAddress	0
rt usrId the strongest earthquake in DD years struck northern california early sunday injuring more than DD people httpAddress	0
my thoughts are with my friends amp ; neighbors in napa #napaquake	1
rt usrId hoping the best for those affected by the napa earthquake have to shoutout the usrId for ending with this line ht	1
rt usrId damages in city of #vallejo are estimated at 5 million httpAddress #napaquake	0
rt usrId nappa earthquake wreaks california s 13 billion #wine industry httpAddress httpAddress	0
pops just sent me a picture of all the wine barrels that spilled during the california httpAddress dude really knows how to ruin my httpAddress	0
rt usrId 100 injured in northern california s most powerful earthquake since httpAddress httpAddress httpAddress	0
damage from northern california earthquake could reach 1 billion httpAddress via usrId	0
napa valley wineries sustain damage from 6.0 earthquake httpAddress	0
yare update 1 california wine country quake losses seen in the billions reuters cnnupdate httpAddress httpAddress yare	0
give where you live how to help bay area earthquake victims via usrId httpAddress	1
california earthquake aftermath buildings destroyed over DD injured 6.0 magnitude earthquake caused six httpAddress httpAddress	0
napa earthquake a reminder to be prepared emergency httpAddress httpAddress #appropriationscommittee #napasunday #napavalley	1
rt usrId california wine country shaken by 6.0 quake dozens hurt httpAddress	0
rt usrId rt usrId boy injured from falling chimney in #napaquake upgraded to serious condition at uc httpAddress httpAddress	0
rt usrId napa county vintners announces 10mil fund for #napaquake aid usrId httpAddress	1
rt usrId california usa riverside httpAddress #earthquake DD three critically injured almost DD treated at napa hos	0
rt usrId if you really want to help #drinknapa #wines #napaquake httpAddress	1
rt usrId what a california thing to do . skater takes advantage of napa earthquake damaged httpAddress via usrId httpAddress	0
#news california wine country quake losses seen in the billions reuters httpAddress #tafs #fb100	0
usrId gt ; #quake m 0.7 6km nw of the geysers california time2014 08 27 18 19 37 httpAddress httpAddress #warning !	1
rt usrId hey #teaparty where s the outrage ? california plans to waste tax to repair roads and bridges after the #napaquake ! s	0
tz usrId usrId httpAddress california earthquake hits wine region hard destroying thousands of httpAddress httpAddress #apnews	0
rt usrId strong 6.1 earthquake rocks san francisco bay area injures 87 significant damage in napa httpAddress	0
hospital more than DD treated since napa earthquake httpAddress	0
rt usrId video napa earthquake damage wine tanks leaking httpAddress anyone ready for a drink ? #earthquake via usrId	0
rt usrId napa skaters find upside to quake httpAddress video httpAddress pic jeremy carroll httpAddress	0
emergency mgmt earthquake early warning system successfully alerted california researchers httpAddress	1
rt usrId my first thought when reading about the earthquake on california httpAddress httpAddress	1
napa quake caused 300 million in private property damage httpAddress	0
rt usrId mt usrId skater finds upside to #earthquake damage in httpAddress photo by jeremy httpAddress httpAddress	0
rt usrId usa httpAddress DD earthquake napa earthquake power restored to thousands cleanup continues janinebucks cal	0
this weekend s quake in northern #california should serve as a reminder to all those in #earthquake prone areas to be prepared ! are you ?	1
usrId tech failure in napa quake power surges led to pc damage httpAddress	0
california wine country quake losses seen in the billions	0
rt usrId south napa quake in n ca causes substantial damage injuries httpAddress reliable info from napa httpAddress D cri	0
california earthquake bay area picks up pieces after strongest quake in DD years cnn cnncalifornia httpAddress httpAddress	0
rt usrId #napaquake ruptures water mains amp ; gas lines D critically injured ; fires damaged httpAddress httpAddress httpAddress	0
elca offers prayers for those affected by california earthquake via usrId httpAddress #unys	1
rt usrId will federal aid arrive for #napaquake ? httpAddress httpAddress	1
#usgs #breaking m httpAddress 1km ese of the geysers california httpAddress #pasthour #13 #earthquake #tsunami #prayfromjapan	1
thoughts prayers to our friends with #earthquake damage fears in httpAddress take care httpAddress	1
rt usrId napa quake damage turning into tourist attraction olive oil store now greasy and expensive mess httpAddress #san	0
rt usrId napa valley earthquake causes a billion dollars in damage and thousands without power los httpAddress httpAddress	0
catholic charities helps with relief after httpAddress quake napa valley httpAddress aug 26 DD httpAddress 04 07 am cnahttpAddressewt .. http httpAddresshttpAddresst . cohttpAddressuc03qewtom	1
usrId this reflects these times that the damage from a disaster #napaquake becomes a playground	0
the san francisco earthquake in wine country injured dozens of people httpAddress reuters a 6.0 httpAddress httpAddress	0
quake in california s wine country injures dozens httpAddress	0
rt usrId 4pm the state of emergency in force in california s napa valley after an earthquake caused widespread damage #7arvo httpAddress	0
thousands without power following httpAddress earthquake in california thousands are without power on httpAddress httpAddress	0
napa valley community foundation may be able to help gather donations for the quake impacts like usrId httpAddress	1
drone shows napa quake s impact from above as doctors treated injured locals and geologists measured httpAddress httpAddress	0
california quake to cost insurers up to 1 billion eqecat says httpAddress via usrId	0
rt usrId state of emergency after quake hits california wine httpAddress httpAddress	1
california winemakers cleaning up after earthquake fox news httpAddress	0
rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress	0
napa earthquake damage estimated at 1billion httpAddress	0
#napaquake hits httpAddress one local felt the quake one is keeping his family in his httpAddress usrId usrId httpAddress	1
rt usrId httpAddress DD dozens injured D critically after strong earthquake in california cnn a httpAddress	0
thoughts go out to the napa valley residents who were affected by httpAddress sure this adds to the tribulations of living in wine country	1
hospital more than DD treated since napa earthquake httpAddress	0
the san francisco earthquake in wine country injured dozens of people httpAddress #usgs	0
#california has been trending 30min on the earthquake page httpAddress #tweetzup	1
napa 6.0 earthquake caused significant damage in county usgs cleanup efforts were underway in the bay httpAddress httpAddress	0
rt usrId usa httpAddress DD earthquake three critically injured almost DD treated at napa hospital following 6.0 ..	0
rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress	0
this is what northern california looks like after quake httpAddress #newyork	0
rt usrId httpAddress earthquake DD #earthquake even buildings with seismic retrofits damaged in napa earth httpAddress	0
boy hurt in california quake i should be dead httpAddress	0
napa earthquake first a boom then flames at mobile home park #jobs httpAddress httpAddress	0
usa httpAddress scores of aftershocks from napa earthquake felt more on the way usa officials have warned the public to b	1
rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress	0
rt usrId damages in city of #vallejo are estimated at 5 million httpAddress #napaquake	0
thousands without power following httpAddress earthquake in california thousands are without power on httpAddress httpAddress	0
rt usrId usa news httpAddress hot news DD earthquake three critically injured almost DD treated at napa hospital fol	0
bw small winemakers assess napa quake damage httpAddress	0
rt usrId norcal rattled by largest quake to hit bay area since 89 ; overnight quake causes significant damage in napa county httpAddress	0
over DD injured in napa quake httpAddress	0
rt usrId quake in california s wine country injures dozens httpAddress #vegas	0
rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress	0
raiders assist in napa earthquake recovery efforts httpAddress	1
#breakingnews small winemakers assess napa quake damage small independent vintners who stored wine barrels httpAddress httpAddress	0
napa private property damage totals 300m 100 buildings red tagged httpAddress #napaquake	0
srjc sonoma county schools report little damage from quake httpAddress	0
rt usrId safely enjoying northern httpAddress my prayers and thoughts are with everyone affected by this mornings httpAddress	1
rt usrId rms experts extensive damage to unreinforced masonry buildings amp ; faades occurred caused by the #napa #earthquake httpAddress	0
california quake damages historic buildings the strongest quake to hit the bay area in DD years injured httpAddress httpAddress	0
usrId library and all four campuses basically zero httpAddress our thoughts are with everyone affected by #napaquake httpAddress	1
usrId know someone who experienced property damage in the #napaquake ? you may need expert httpAddress httpAddress	1
losses from california quake could top 1 billion the httpAddress earthquake damaged buildings knocked httpAddress httpAddress	0
i didn t feel a httpAddress even buildings with seismic retrofits damaged in napa earthquake httpAddress #heavysleeper	0
rt usrId 6.0 quake last night amp ; hit hardest httpAddress damage was #wholefoods httpAddress that was the bunnies ur gonna kill thumping at the	0
#earthquake #preparedness #california are you prepared ? every day is earthquake season in httpAddress httpAddress httpAddress	1
rt usrId at least DD people have been injured in the 6.1 #napaquake per walt mickens president amp ; ceo of queen of the valley	0
california assessing damage after large quake httpAddress	0
the napa valley quake wreaked havoc with california wineries but the impact may not be as bad as it first httpAddress httpAddress	0
my prayers go to those who got injured ! thankful my god daughter is okay #napaearthquake	1
a california earthquake caused injuries power outages and fires yesterday ap reports httpAddress httpAddress	0
rt usrId cracked wine casks damaged historical buildings and coffee httpAddress this napa earthquake is the biggest first world disaster	0
san francisco bay area shaken by magnitude 6.0 earthquake DD injured buildings damaged	0
#losdelsonido this is what northern california looks like after quake cracked streets homes on fire and crumbled httpAddress #oye victor	0
rt usrId oregon usa portland httpAddress breaking news DD earthquake 6.0 earthquake jolts bay area damage and at least DD	0
D things to know about earthquake faults D things to know about earthquake faults in california httpAddress usrId	1
#breaking new injury numbers DD injured D fractures D critical #napaquake httpAddress	0
losses from california quake could top 1 billion httpAddress	0
rt usrId stark before and after photos show extent of #napaquake httpAddress httpAddress httpAddress	0
#replaysports in napa business working through #napaquake aftermath #damage #mapit httpAddress	0
rt usrId my thoughts httpAddress everyone involved in httpAddress thank you to the rescue workers !	1
napa earthquake damage wine tanks leaking httpAddress #wine #wineoclock #napa	0
rt usrId expert urges california nuclear plant closure over quake threat httpAddress critics call diablo canyon a cat	1
rt usrId typical california skating the earthquake fault lines httpAddress	0
rt usrId a number of pets that escaped in the wake of sunday s napa earthquake are still missing httpAddress	0
rt usrId the sf bay area shook last night from an earthquake but the gopro grand prix is on . our thoughts go out to our bay area friends	1
usrId gt ; #quake m 1.3 6km nw of the geysers california time2014 08 27 20 47 09 httpAddress httpAddress #warning !	1
#yeremiito21 napa earthquake hastens calls for warning system napa earthquake hastens calls .. httpAddress #yeremiito21	1
rt usrId i ve just heard about the north california httpAddress i hope you all are okay lt ;3	1
rt usrId rt usrId damage to us post office bldg on second st. httpAddress homeless sleeping inside were hit with httpAddress #quake http	0
boy hurt in california quake i should bedead httpAddress	0
boy hurt in california quake i should be dead a 13 year old boy who was seriously injured by httpAddress httpAddress #usa #news	0
rt usrId usa news httpAddress hot news DD earthquake dozens injured D critically after strong earthquake in californ	0
hospital more than DD treated since napa earthquake httpAddress	0
rt usrId httpAddress DD 6.0 earthquake jolts bay area damage and at least DD injuries reported #earthquake it was t	0
rt usrId california wine country quake losses seen in the billions httpAddress	0
our thoughts prayers and best wishes are with our friends south of us in sonoma amp ; napa after the recent httpAddress #napastrong	1
i feel sorry for the california earthquake damage httpAddress that is the last place on the planet anyone would expect an httpAddress	1
usa httpAddress DD earthquake three critically injured almost DD treated at napa hospital following 6.0 .. ginalimp califor	0
rt usrId mississippi usa jackson httpAddress breaking news DD earthquake state of emergency declared in california earthq	1
rt usrId i m taking over coverage of the #napaquake from httpAddress the damage looks striking in httpAddress httpAddress	0
napa valley earthquake the damage from the earthquake that took place recently in californias premium wine httpAddress httpAddress	0
rt usrId a look at napa after the earthquake how to httpAddress httpAddress #wine #winelover	1
rt usrId #california earthquake aftermath buildings destroyed over DD injured video httpAddress	0
pulling a double shift to go help the earthquake relief in httpAddress	1
rt usrId usrId our hearts are broken seeing the damage usrId in httpAddress #napaquake #napaearthquake trefethen nee	1
rt usrId there s a 99 chance a strong earthquake will happen in california before 2038 httpAddress #disturbing #prep	1
#sunoviaaqui over DD injured in napa quake napa httpAddress ap the strongest earthquake httpAddress httpAddress #dmdaniiel x6	0
rt usrId only in california does earthquake damage httpAddress photo by jeremy carroll httpAddress	0
rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress	0
#us boy hurt in california quake i should be dead davis httpAddress ap thirteen year old nicholas httpAddress httpAddress #news	0
rt usrId nearly a billion dollars of wine lost to #californiaearthquake httpAddress httpAddress	0
update 8 quake rocks california wine country dozens injured httpAddress	0
rt usrId rep #thompson of #5th cd aides no money to rebuild downtown #napa red tape demolition yellow boarded up try this ht	0
rt usrId httpAddress DD bay area earthquake damages napa county airport clean up is still underway in the wake of	0
#news #california even buildings with seismic retrofits damaged in napa earthquake city officials in napa httpAddress httpAddress	0
#gossip #hot #news bests briefing insured losses in northern california httpAddress httpAddress #autofollowback ygnews	0
usrId thank god u left california they had an earthquake	1
rt usrId at least DD people injured in the 6.1 napa quake according to walt mickens president amp ; ceo of queen of the valley medica	0
usrId gt ; #quake m 1.5 3km se of calistoga california time2014 08 28 18 25 40 utc2014 08 28 .. httpAddress #warning !	1
rt usrId more businesses amp ; buildings damaged by the #napaquake httpAddress	0
eudrylantiqua boy hurt in california quake i should be dead boy badly hurt by httpAddress httpAddress eudrylantiqua	0
california quake means big damage for napa valley wineries httpAddress	0
watch downtown napa newer buildings fared better than old in quake abc news neal karlinsky tours earthquake damage in the httpAddress	0
some roads in downtown napa closed due to earthquake httpAddress usrId with more usrId	0
napa valley vintners still assessing damage from #earthquake httpAddress #napaquake	0
rt usrId usa httpAddress even buildings with seismic retrofits damaged in napa earthquake usa four homes at napa va	0
skaters make best of napa earthquake by shredding buckled streets to quote jurassic park s esteemed httpAddress httpAddress	1
south napa quake causes substantial damage injuries httpAddress	0
the latest on damaging earthquake in california httpAddress #tcot	0
rt usrId thoughts amp ; prayers httpAddress everyone affected by this morning s quake in the bay httpAddress	1
rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photo jeremy carroll httpAddress	0
rt usrId us quake damage rt usrId rock on . rt usrId the most california thing httpAddress via usrId	0
rt usrId why don t california homeowners have earthquake insurance ? httpAddress	1
raw aerial look at napa quake damage #newsvideos httpAddress	0
napa earthquake hastens calls for warning system httpAddress #news #world news	1
rt usrId the damage is devastating but we are napa strong ! #napaquake #wewillsurvive httpAddress	0
rt usrId damage from #napaquake car under rubble at third and brown streets httpAddress	0
earthquake devastates california san francisco bayarea httpAddress	0
#californiaearthquake destroys historic #buildings in #napa injures many home realty today httpAddress	0
D shelters open for #napaquake crosswalk cmnty church D590 1st st #napa amp ; florence douglas cntr DD amador st #vallejo redcrossbayarea	1
DD injured D critical after napa california quake usa today usa todayDD injured D critical after httpAddress httpAddress	0
via usrId napa quake tasting room serving several vineyards heavily damaged httpAddress	0
rt usrId #raiders will donate 50 00 to help recovery efforts from the napa httpAddress it is the teams training camp httpAddress	1
rt usrId usa httpAddress DD earthquake even buildings with seismic retrofits damaged in napa earthquake janinebucks c	0
rt usrId D critically injured DD treated at hospital after 6.0 magnitude earthquake in california httpAddress	0
D bay area earthquake damages napa county airport clean up is still underway in the wake of the 6.0 magnitude httpAddress	0
#adult #porn #std california wine country rocked by 6.0 quake dozens hurt napa httpAddress reuters a 6.0 httpAddress httpAddress	0
#newsupdates insured losses from napa earthquake could reach 500m to 1 billion httpAddress	0
rt usrId meadowbrook lane in napa skaters finding upside to quake httpAddress photo from #nbcbayarea photog jeremy carroll httpAddress	0
6.0 quake causes injuries and damage in northern california updated truthdig httpAddress via usrId	0
rt usrId usa news httpAddress hot news DD earthquake even buildings with seismic retrofits damaged in napa earthquake	0
rt usrId did you feel yesterday s 6.0 #earthquake in ca ? help our friends at usrId collect data by completing their survey ! httpAddress	1
ap top strong california quake shakes famed wine country napa httpAddress ap the san francisco bay area s httpAddress httpAddress	0
dozens injured in san francisco earthquake a httpAddress earthquake has rocked the northern san francisco httpAddress httpAddress	0
how about buying only napa wines to help those in trouble from the earthquake last httpAddress	1
quake in california s wine country injures dozens the seattle times httpAddress	0
rt usrId breaking the total cost of the devastating napa earthquake could top httpAddress of the cost to develop the 0bamacare web httpAddress	0
california assesses the damage after powerful earthquake hitsnapa httpAddress	0
nicholas dillon injured in the #napaquake is on the road to recovery after surgery at #ucdavis children s httpAddress httpAddress	0
us #us news #california #earthquake #quake #warning california earthquake spurs calls for statewide warning system httpAddress	1
rt usrId sending my thoughts out to napa county firefighters i ve met from cal fire lnu out working the quake today praying for y	1
rt usrId applause rt usrId california in one httpAddress mt usrId napa skaters find upside to quake httpAddress http	1
#wow ! the damage rt usrId big chunk of the #maxwellbridge in #napa #tvcamera used for scale #napaquake httpAddress	0
lots of damage at california wineries after the earth quake over the weekend ! httpAddress	0
california skaters turn quake damaged roads into playland .. httpAddress #jerrybrown #photogettyimages #sanfranciscobay	0
check out earthquake causes damage in the bay area on usrId httpAddress	0
rt usrId earthquake in ca on sunday led to injuries property damage httpAddress than a million hours of lost sleep ? httpAddress	0
alert m 2.9 8km sw of napa california httpAddress #earthquake	1
wa shares this earthquake strikes napa valley ; wineries assess damage wine spectator httpAddress	0
usrId an earthquake hit httpAddress hope your family is httpAddress	1
california winemakers cleaning up after quake winemakers in california s storied napa valley woke up httpAddress httpAddress	0
rt usrId only in california does earthquake damage httpAddress photo by jeremy carroll httpAddress	0
rt usrId northern california earthquake wipes out power to tens of thousands httpAddress httpAddress	0
rt usrId update httpAddress quake in northern california causes injuries fires road httpAddress httpAddress httpAddress	0
rt usrId usa news httpAddress hot news DD earthquake napa earthquake power restored to thousands cleanup continues	0
quake hits california state of emergency issued as officials weigh damage photos magnitude 6.0 earthquake httpAddress httpAddress	0
usa news httpAddress hot news DD earthquake damage from northern california earthquake could reach 1 billion #earthquake u	0
rt usrId raiders to help napa in earthquake recovery httpAddress httpAddress httpAddress	1
the san francisco earthquake in wine country injured dozens of people httpAddress reuters a 6.0 httpAddress httpAddress	0
lodi wine industry reaches out to help napa wineries affected by earthquake cbs sacramento httpAddress	1
rt usrId damage at #napapostoffice from #napaquake httpAddress	0
bay area biz talk napa earthquake wineries open catastrophe experts descend on quake zone httpAddress	0
rt usrId meadowbrook lane in napa skaters find upside to quake httpAddress video httpAddress pic by jeremy carroll httpAddress	0
dozens hurt in california wine country after magnitude 6.0 quake httpAddress	0
strong magnitude D earthquake rocks san francisco bay area dozens hurt significant damage in napa cbs san fran httpAddress	0
rt usrId from usrId how the napa earthquake affected bay area httpAddress interesting use of data httpAddress httpAddress	0
rt usrId if you smell gas shut it off and httpAddress call usrId at httpAddress dont turn it back on without their httpAddress #	1
my prayers to the northern ca . people who are in the earthquake	1
rt usrId httpAddress doing some good in httpAddress donating 50 00 to help area recover from recent httpAddress good on you silver and httpAddress	1
rt usrId six people critically injured in california earthquake httpAddress	0
rt usrId only in california does earthquake damage httpAddress photo by jeremy carroll httpAddress	0
video shows moment earthquake hit california ; updated reports say DD injured #cleveland httpAddress	0
rt usrId do you want to help wineries who need help ? here s one way you can napa earthquake volunteers httpAddress	1
colorado usa fort collins #earthquake D northern california rattled by httpAddress httpAddress dozens httpAddress httpAddress	0
excellent usrId story by usrId on the #earthquake early warning system in development in #california httpAddress	1
rt usrId usa news httpAddress hot news DD earthquake dozens injured D critically after strong earthquake in califor	0
rt usrId california skaters turn quake damaged roads into playland httpAddress httpAddress	0
rt usrId watch live usrId reports some DD people are at the #quake evacuation shelter in httpAddress httpAddress	1
update on napa earthquake amp ; damage httpAddress sad about all lost wine but at least no httpAddress httpAddress	0
rt usrId usa news httpAddress hot news DD earthquake dozens injured D critically after strong earthquake in califo	0
quake in california s wine country injures dozens	0
over DD injured in 6.0 #bayarea #earthquake #california #DDhurt #glv httpAddress	0
bridges overpasses earn approval after northern california quake sfgate httpAddress #earthquakesf #napa #earthquake	0
new alert system improves earthquake warning in california httpAddress	1
rt usrId napa teen badly injured by a collapsed chimney is httpAddress httpAddress #napaquake	0
rt usrId uc davis medical center confirms they are treating a DD year old boy injured httpAddress he is in serious httpAddress	0
usa news httpAddress hot news DD earthquake even buildings with seismic retrofits damaged in napa earthquake #earthquake us	0
south napa earthquake causes damage injuries kgo tv httpAddress	0
our thoughts go out to those who have lost wine due to the #napaquake httpAddress	1
earthquake napa valley california drone video footage of the damage in napa ! httpAddress via httpAddress	0
california earthquake no early warning system napa residents werent warned of the recent httpAddress httpAddress httpAddress	1
the san francisco earthquake in wine country injured dozens of people .. httpAddress #bayarea #sanfranciscobay #tylerparadise	0
more than DD water lines still broken after napa earthquake DD sinkholes found #sacramento httpAddress	0
rt usrId #napa quake may cost over 1 billion in damages to vineyards and restaurants httpAddress via usrId #wine	0
napa earthquake hastens california calls for early warning system dianne feinstein joins renewed calls for httpAddress httpAddress	1
rt usrId obama has been briefed on the napa httpAddress he expressed deep concern amp ; has sent out a special envoy to evaluate th	1
DD injured D critical after napa california quake the quake is the strongest to hit the region .. httpAddress #usa #news	0
california earthquake aftermath buildings destroyed over DD injured california httpAddress httpAddress #kabari #world	0
httpAddress undamaged by napa valley httpAddress #ports httpAddress	0
citynews thousands without power following httpAddress #earthquake in #california httpAddress	0
napa mops up wine and tallies its losses after quake the napa valley quake wreaked havoc with california httpAddress httpAddress	0
thoughts and prayers to california httpAddress	1
catholic charities helps with relief after httpAddress quake napa valley httpAddress aug 26 DD httpAddress 04 07 am cnahttpAddressewt .. http httpAddresshttpAddresst . cohttpAddressuc03qewtom	1
update 10 california wine country shaken by 6.0 quake dozens hurt reuters httpAddress #earthquakesf #napa #earthquake	0
rt usrId #earthquake update from city of napa DD treated at queen of the valley no httpAddress no new patients since 11pm httpAddress	0
rt usrId that wasn t an earthquake that was httpAddress rt usrId state of emergency declared after california earthquake httpAddress	1
rt usrId earthquake m 2.9 8km sw of napa california dyfi ? iitime2014 08 26 00 02 34 utc2014 08 25 17 02 34 httpAddress httpAddress	1
rt usrId meadowbrook lane in napa skaters find upside to quake httpAddress video httpAddress pic by jeremy carroll httpAddress	0
rt usrId the losses from california s napa earthquake could top 1 blnand yes some of that s wine httpAddress httpAddress	0
rt usrId clean up after california quake injures DD httpAddress	0
miira california wine country rocked by 6.0 quake dozens hurt reuters reuterscalifornia wine country rocked by 6.0 quake httpAddress	0
rt usrId california usa el monte httpAddress #earthquake DD dozens injured D critically after strong earthquake in	0
rt usrId man s drone footage shows napa quake damage httpAddress	0
get an up close look at the damage caused by the #earthquake in #california through the eyes of a drone httpAddress	0
rt usrId usa httpAddress dozens injured D critically after strong earthquake in california usa cnn a httpAddress	0
battered napa takes stock of napa quake damage httpAddress #losangeles	0
rt usrId damage from california quake could top 1 billion via usrId httpAddress	0
usrId gt ; #quake m 1.0 3km nnw of the geysers california time2014 08 28 20 37 15 httpAddress httpAddress #warning !	1
how the napa earthquake affected sleep in northern california httpAddress	1
another one httpAddress occurred in a remote country httpAddress qt usrId strong california quake causes injuries damage httpAddress	0
our thoughts are with all those affected by the httpAddress wishing friends amp ; businesses quick httpAddress #napaearthquake #napa #earthquake	1
